100,5.2,6.9,0.376,-85,0.32,-83.96
500,4.8,22.8,1.68,-70.24,1.42,-61.92
1000,4.08,36.6,2.8,-53,2.24,-43.85
5000,1.44,69.67,4.64,-18,3,-5.31
10000,0.88,76,4.8,-8.22,3,5.554
20000,0.42,77,4.8,-5.024,2.8,20.15
30000,0.3,77,5,-6.3,2.56,28.17
50000,0.172,80,4.88,-3.068,2.12,41
75000,0.116,81,4.88,-2.156,1.64,51.54
100000,0.096,84,4.96,-1.62,1.36,59.54
